1 1374 1
1 1644 1
2 595 1
2 2645 1
2 3017 1
3 270 1
3 943 1
3 1809 1
3 1936 1
3 2179 1
4 280 1
4 356 1
4 2601 1
4 2967 1
5 657 1
5 1602 1
5 3006 1
6 797 1
6 1505 1
6 3318 1
7 2175 1
8 1986 1
9 628 1
10 1267 1
10 1310 1
11 1684 1
11 1990 1
12 2967 1
13 1966 1
13 3025 1
14 4182 1
15 3017 1
16 333 1
16 657 1
16 1544 1
16 3275 1
17 1443 1
17 1901 1
18 191 1
18 1518 1
18 3017 1
19 4182 1
20 1966 1
21 4182 1
22 2823 1
23 2138 1
24 270 1
24 1810 1
25 2781 1
25 3204 1
26 3376 1
27 2641 1
28 675 1
29 321 1
29 3353 1
32 2702 1
33 210 1
33 1983 1
33 2917 1
34 694 1
36 347 1
36 1443 1
36 1518 1
36 3017 1
36 3384 1
38 2421 1
38 3017 1
39 1518 2
39 1941 2
41 1468 1
42 3418 1
44 2885 1
45 130 1
45 3232 1
46 1860 1
46 2138 1
47 1321 1
47 1543 1
47 1618 1
47 2367 1
48 662 1
48 723 1
48 3331 1
49 1500 1
49 1941 1
50 1966 1
51 262 1
51 2962 1
52 1941 1
53 2966 1
53 3011 1
55 1632 1
55 1954 1
55 1989 1
56 1925 1
57 2411 1
57 3001 1
58 2908 1
59 210 1
59 635 1
59 2587 1
59 2680 1
60 1895 1
62 1615 1
64 3980 1
66 1043 1
66 2306 1
67 1273 1
67 1468 1
68 1482 1
68 3278 1
69 1989 1
69 3384 1
71 2630 1
72 2938 1
72 4182 1
73 3349 1
74 516 1
74 638 1
74 714 1
74 3148 1
75 1379 1
78 1292 1
78 1941 1
79 1292 1
79 1941 1
80 693 1
80 1053 1
81 585 1
81 1812 1
82 178 1
82 1386 1
82 1644 1
82 1856 1
83 1237 1
85 321 1
85 709 1
85 3349 1
85 4112 1
86 405 1
86 2422 1
87 1052 1
87 1559 1
88 2346 1
88 3399 1
89 347 1
89 728 1
89 1443 1
89 1447 1
92 2179 1
94 1237 1
96 3019 1
96 3384 1
97 941 1
98 192 1
98 3019 1
98 3041 1
98 3275 1
100 1989 1
102 1541 1
104 4112 1
105 347 1
105 1443 1
105 1518 1
106 118 1
