2 641 1
2 1989 1
2 3395 1
3 1362 1
3 1941 1
4 3498 1
4 4153 1
6 4290 1
7 1468 1
7 1518 1
7 3019 1
7 3275 1
7 3503 1
7 3713 1
8 465 1
8 1214 1
8 3384 1
9 3384 1
11 1989 1
11 2445 1
12 1966 1
14 321 1
16 1406 1
17 1447 1
17 1518 1
19 436 1
19 2179 1
20 141 1
20 1617 1
20 3384 1
20 3841 1
23 1989 1
24 2718 1
25 3318 1
25 3732 1
26 1948 1
26 3275 1
26 3318 1
27 2102 1
27 3041 1
28 595 1
28 3353 1
29 1235 1
33 1177 1
33 2386 1
33 3017 1
33 3376 1
34 136 1
34 1506 1
35 1994 1
35 3384 1
36 592 1
36 1989 1
37 2179 1
38 3929 1
38 4225 2
39 1468 1
39 1567 1
41 1357 1
41 1945 1
41 2179 1
41 3418 4
43 728 1
44 696 1
46 1941 1
46 3353 1
48 709 1
48 1209 1
48 2179 1
50 1518 1
51 1361 1
54 4182 1
55 3019 1
57 3357 2
58 1386 1
58 1541 1
59 657 1
60 210 1
60 331 3
60 3041 1
60 3469 2
61 1602 1
61 2718 1
65 3036 1
66 2885 1
67 465 1
67 3318 1
68 262 1
69 1980 1
70 333 1
70 868 1
70 1893 1
70 3376 1
71 270 1
72 321 1
72 1941 1
75 709 1
76 1447 1
76 1602 1
76 1989 1
78 1323 1
79 347 1
79 1518 2
79 1592 1
79 2459 1
79 3324 1
80 1065 1
83 4182 1
84 699 1
84 1518 1
84 1941 1
85 1379 1
88 2012 1
90 4112 1
91 2179 1
92 321 1
93 599 1
93 1941 1
94 328 1
96 1634 1
97 1541 1
98 321 1
100 321 1
100 2306 1
100 3384 1
101 3331 1
103 2309 1
104 1608 1
105 1343 1
105 2641 1
106 1941 1
107 1989 1
107 2713 1
107 2984 1
108 1447 1
109 1343 1
110 1447 1
110 1895 1
113 1446 1
113 3384 1
114 1941 2
114 2885 1
114 3359 1
115 3795 1
116 1567 1
118 1338 1
119 1986 1
119 3331 1
120 870 1
120 2295 1
121 127 1
121 1052 1
121 1447 1
123 3275 1
128 1954 1
130 1941 1
131 262 1
131 1447 1
132 1911 1
133 1513 1
135 134 1
135 699 1
135 1604 1
135 1966 1
135 3331 1
136 2012 2
136 2177 1
137 709 1
137 1966 1
138 2877 1
138 3385 1
139 641 1
139 1895 1
139 2031 1
139 2179 1
140 2179 1
141 481 1
141 590 1
141 709 1
141 1447 1
142 1518 1
142 1989 1
143 1406 1
143 1941 1
144 1989 1
145 2984 1
145 3384 1
146 3473 1
146 3732 1
146 3918 1
149 1966 1
150 3275 1
154 328 1
154 1999 1
154 3089 1
155 1989 1
155 3017 1
156 2179 1
156 2722 1
158 4182 1
159 1432 1
159 1443 1
159 2179 1
160 1416 1
161 1966 1
161 2367 1
161 4182 1
163 136 1
165 3301 1
166 1303 1
166 1989 1
166 3399 2
167 1518 1
168 1989 1
168 3318 1
169 3373 1
171 3019 1
174 1989 2
176 2722 1
179 2179 1
179 2853 1
180 493 1
182 405 1
182 2412 1
182 3205 1
182 3343 1
182 4182 1
183 555 1
183 3384 1
185 2179 1
185 3089 1
185 4182 1
186 594 1
187 362 1
187 2718 1
187 3318 1
188 1989 1
189 2920 1
190 595 1
192 141 1
193 1304 1
193 1449 1
193 1468 1
193 1602 1
193 2309 1
193 2346 1
193 2645 1
195 1468 1
196 2823 1
198 819 1
199 210 1
199 657 1
199 2722 1
200 1302 1
